"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CPI","TOT","IDX2015","A","1955",7.409065,
"FRA","CPI","TOT","IDX2015","A","1956",7.549639,
"FRA","CPI","TOT","IDX2015","A","1957",7.780481,
"FRA","CPI","TOT","IDX2015","A","1958",8.967824,
"FRA","CPI","TOT","IDX2015","A","1959",9.489326,
"FRA","CPI","TOT","IDX2015","A","1960",9.882178,
"FRA","CPI","TOT","IDX2015","A","1961",10.1194,
"FRA","CPI","TOT","IDX2015","A","1962",10.65889,
"FRA","CPI","TOT","IDX2015","A","1963",11.19174,
"FRA","CPI","TOT","IDX2015","A","1964",11.55113,
"FRA","CPI","TOT","IDX2015","A","1965",11.86337,
"FRA","CPI","TOT","IDX2015","A","1966",12.17206,
"FRA","CPI","TOT","IDX2015","A","1967",12.51187,
"FRA","CPI","TOT","IDX2015","A","1968",13.08031,
"FRA","CPI","TOT","IDX2015","A","1969",13.87114,
"FRA","CPI","TOT","IDX2015","A","1970",14.60627,
"FRA","CPI","TOT","IDX2015","A","1971",15.39464,
"FRA","CPI","TOT","IDX2015","A","1972",16.32802,
"FRA","CPI","TOT","IDX2015","A","1973",17.53312,
"FRA","CPI","TOT","IDX2015","A","1974",19.92628,
"FRA","CPI","TOT","IDX2015","A","1975",22.25484,
"FRA","CPI","TOT","IDX2015","A","1976",24.39698,
"FRA","CPI","TOT","IDX2015","A","1977",26.71337,
"FRA","CPI","TOT","IDX2015","A","1978",29.18451,
"FRA","CPI","TOT","IDX2015","A","1979",32.2917,
"FRA","CPI","TOT","IDX2015","A","1980",36.67129,
"FRA","CPI","TOT","IDX2015","A","1981",41.55385,
"FRA","CPI","TOT","IDX2015","A","1982",46.53137,
"FRA","CPI","TOT","IDX2015","A","1983",50.93303,
"FRA","CPI","TOT","IDX2015","A","1984",54.84153,
"FRA","CPI","TOT","IDX2015","A","1985",58.03939,
"FRA","CPI","TOT","IDX2015","A","1986",59.51274,
"FRA","CPI","TOT","IDX2015","A","1987",61.47005,
"FRA","CPI","TOT","IDX2015","A","1988",63.13025,
"FRA","CPI","TOT","IDX2015","A","1989",65.33873,
"FRA","CPI","TOT","IDX2015","A","1990",67.42583,
"FRA","CPI","TOT","IDX2015","A","1991",69.5925,
"FRA","CPI","TOT","IDX2015","A","1992",71.2375,
"FRA","CPI","TOT","IDX2015","A","1993",72.73666,
"FRA","CPI","TOT","IDX2015","A","1994",73.94083,
"FRA","CPI","TOT","IDX2015","A","1995",75.26917,
"FRA","CPI","TOT","IDX2015","A","1996",76.76167,
"FRA","CPI","TOT","IDX2015","A","1997",77.68584,
"FRA","CPI","TOT","IDX2015","A","1998",78.19167,
"FRA","CPI","TOT","IDX2015","A","1999",78.61166,
"FRA","CPI","TOT","IDX2015","A","2000",79.92917,
"FRA","CPI","TOT","IDX2015","A","2001",81.23583,
"FRA","CPI","TOT","IDX2015","A","2002",82.79833,
"FRA","CPI","TOT","IDX2015","A","2003",84.53584,
"FRA","CPI","TOT","IDX2015","A","2004",86.34666,
"FRA","CPI","TOT","IDX2015","A","2005",87.85416,
"FRA","CPI","TOT","IDX2015","A","2006",89.32584,
"FRA","CPI","TOT","IDX2015","A","2007",90.655,
"FRA","CPI","TOT","IDX2015","A","2008",93.205,
"FRA","CPI","TOT","IDX2015","A","2009",93.28667,
"FRA","CPI","TOT","IDX2015","A","2010",94.715,
"FRA","CPI","TOT","IDX2015","A","2011",96.715,
"FRA","CPI","TOT","IDX2015","A","2012",98.605,
"FRA","CPI","TOT","IDX2015","A","2013",99.45667,
"FRA","CPI","TOT","IDX2015","A","2014",99.96167,
"FRA","CPI","TOT","IDX2015","A","2015",99.99917,
"FRA","CPI","TOT","IDX2015","A","2016",100.1825,
"FRA","CPI","TOT","IDX2015","A","2017",101.2167,
"FRA","CPI","TOT","IDX2015","A","2018",103.09,
"FRA","CPI","TOT","IDX2015","A","2019",104.2325,
"FRA","CPI","TOT","IDX2015","A","2020",104.7292,
"FRA","CPI","TOT","IDX2015","A","2021",106.4492,
"FRA","CPI","TOT","IDX2015","A","2022",112.0083,