Année,T.S.A.,T.V.A.,rémunération distributeurs 2,rémunération exploitants3,sacem1,total (M€),,
1980,50.8,26.4,155.3,192.9,5.3,430.7,,
1981,61.8,31.4,194.9,234.7,6.5,529.3,,
1982,73.4,38.8,235.5,275.2,7.8,630.7,,
1983,78.0,40.4,254.8,289.8,8.3,671.3,,
1984,79.0,40.8,261.5,292.9,8.4,682.6,,
1985,76.6,39.6,255.0,286.4,8.2,665.9,,
1986,77.3,40.5,260.1,289.5,8.4,675.7,,
1987,65.3,38.1,220.0,246.6,7.5,577.5,,
1988,62.6,37.1,209.9,237.5,6.6,553.7,,
1989,62.3,29.7,218.8,242.9,7.2,560.8,,
1990,64.6,31.0,228.6,251.5,7.5,583.3,,
1991,65.0,31.3,230.3,257.6,7.5,591.7,,
1992,65.9,31.7,233.1,262.5,7.6,600.8,,
1993,75.4,36.1,266.6,302.0,8.7,688.9,,
1994,70.7,34.7,261.3,278.5,8.3,653.5,,
1995,75.4,36.6,285.2,284.1,8.8,690.1,,
1996,79.4,38.5,299.5,299.4,9.2,726.0,,
1997,86.4,41.9,328.1,323.7,10.0,790.2,,
1998,100.1,48.6,378.9,377.8,11.6,917.0,,
1999,89.8,43.7,340.2,339.8,10.5,824.0,,
2000,97.6,47.4,370.2,367.4,11.4,894.0,,
2001,111.0,54.1,425.8,417.2,13.0,"1,021.0",,
2002,112.5,54.7,427.5,422.3,13.1,"1,030.0",,
2003,108.6,52.8,414.8,407.3,12.7,996.1,,
2004,124.0,60.3,468.1,472.9,14.5,"1,139.8",,
2005,112.2,54.6,429.8,422.0,13.1,"1,031.8",,
2006,121.7,59.4,469.2,456.1,14.2,"1,120.6",,
2007,113.8,56.2,448.9,429.4,13.5,"1,061.9",,
2008,122.5,60.5,483.2,462.1,14.5,"1,142.9",,
2009,132.6,65.5,523.9,499.5,15.7,"1,237.2",,
2010,140.4,69.4,558.9,524.6,16.7,"1,309.9",,
2011,147.4,72.8,579.9,557.2,17.5,"1,374.7",,
2012,140.1,86.1,540.0,524.0,16.3,"1,306.5",,
2013,134.1,82.5,511.6,507.1,15.6,"1,250.9",,
2014,142.9,70.6,561.5,541.4,16.9,"1,333.3",,
2015,142.8,70.5,561.3,540.3,16.9,"1,331.7",,
2016,148.8,73.5,588.8,559.7,17.6,"1,388.4",,
2017,148.0,73.0,584.5,557.5,17.5,"1,380.6",,
2018,143.3,70.7,565.5,540.4,17.0,"1,336.9",,
2019,155.3,76.6,614.1,584.3,18.4,"1,448.7",,
2020,46.4,22.9,180.7,177.2,5.5,432.6,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,