nombre de films,nombre films français,nombre films américains,nombre autres films,nombre Total,"films français (entrées, millions)","films américains (entrées, millions)","autres films (entrées, millions)","Total (entrées, millions)"
1949,nd,nd,nd,nd,164.5,172.7,50.5,387.7
1950,nd,nd,nd,nd,167.2,157.6,45.9,370.7
1951,nd,nd,nd,nd,175.9,149.0,47.9,372.8
1952,nd,nd,nd,nd,175.1,132.3,52.2,359.6
1953,nd,nd,nd,nd,174.2,128.6,67.8,370.6
1954,nd,nd,nd,nd,179.0,130.6,73.2,382.8
1955,"1,098","1,130","1,155","3,383",184.2,132.6,78.0,394.8
1956,"1,115","1,122","1,105","3,342",191.5,132.3,75.0,398.8
1957,"1,105","1,136","1,208","3,449",205.9,132.9,72.8,411.6
1958,"1,120","1,123","1,247","3,490",180.2,112.9,77.9,371.0
1959,"1,138","1,116","1,259","3,513",175.2,111.6,66.9,353.7
1960,"1,185","1,072","1,323","3,580",181.6,101.0,72.0,354.6
1961,"1,231","1,034","1,342","3,607",168.1,90.5,69.7,328.3
1962,"1,297","1,061","1,343","3,701",158.7,92.2,60.8,311.7
1963,"1,348","1,019","1,337","3,704",142.5,89.6,59.1,291.2
1964,"1,394","1,036","1,434","3,864",134.6,83.8,57.4,275.8
1965,"1,452","1,095","1,442","3,989",136.1,69.9,53.1,259.1
1966,"1,467","1,131","1,480","4,078",119.6,65.9,49.2,234.7
1967,"1,439","1,167","1,513","4,119",110.2,58.2,43.0,211.4
1968,"1,373","1,243","1,577","4,193",101.6,53.3,48.3,203.2
1969,"1,370","1,282","1,618","4,270",85.2,48.0,50.7,183.9
1970,"1,338","1,289","1,638","4,265",90.4,47.9,46.1,184.4
1971,"1,330","1,223","1,730","4,283",93.8,43.9,39.3,177.0
1972,"1,326","1,256","1,832","4,414",98.7,44.9,40.8,184.4
1973,"1,365","1,224","1,860","4,449",103.0,34.7,38.3,176.0
1974,"1,390","1,275","2,045","4,710",96.7,38.2,44.5,179.4
1975,"1,454","1,209","2,052","4,715",91.6,48.7,41.4,181.7
1976,"1,507","1,281","2,078","4,866",90.6,49.1,37.6,177.3
1977,"1,637","1,277","2,150","5,064",79.2,51.7,39.4,170.3
1978,"1,701","1,255","2,128","5,084",82.2,58.1,38.2,178.5
1979,"1,753","1,338","2,098","5,189",89.2,52.1,36.8,178.1